TotalPop,Male,Female,White,Black,Asian,Am_Indian,Hawaii_PI,OtherRace,TotalHisp,NonHispW,NonHispB,NonHispA,Pop5Plus,English,Spanish,SpEnWell,SpEnNWell,25_Older,Less9Grade,9_12Grade,HighSch,College,Associate,Bachelor,Master,CashAssis,WithChild,Profession,ArmedForce,Married,Unemployed,Poverty,BelowPover,MedianInco,BornForeig,Insurance,Disabili,NAME,state,county,tract,Total_Count,OBJECTID,STATEFP10,COUNTYFP10,TRACT,GEOID10,NAME10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,Latitude,Longitude,Area in Square Miles
2710,1329,1381,2677,0,6,0,10,10,264,2433,0,6,2624,308,10,0,0,2215,0,0,0,0,0,0,0,11,245,446,234,1139,57,2706,99,113000,16,2693,2693,"Census Tract 1, San Diego County, California",6,73,100,0,230,6,73,100,6073000100,1,G5020,S,1541180,0,32.7530053,-117.1858941,0.59505313
2067,860,1207,1864,14,131,0,0,15,260,1638,0,131,1993,126,0,0,0,1688,0,0,0,0,0,0,0,18,102,374,145,755,77,2067,74,99130,68,2067,2067,"Census Tract 2.01, San Diego County, California",6,73,201,0,57,6,73,201,6073000201,2.01,G5020,S,864212,0,32.7540028,-117.1733775,0.33367253
4599,2386,2213,4293,32,177,0,0,5,472,3826,32,177,4346,263,0,0,0,3904,0,0,0,0,0,0,0,17,402,745,307,2138,120,4529,130,77872,42,4509,4509,"Census Tract 2.02, San Diego County, California",6,73,202,0,194,6,73,202,6073000202,2.02,G5020,S,1308952,0,32.7453846,-117.1751643,0.50539023
4559,2187,2372,3787,103,292,0,4,205,637,3421,103,292,4535,128,0,58,0,4000,14,0,0,0,0,0,29,95,140,994,319,2136,135,4437,695,58663,39,4369,4369,"Census Tract 3, San Diego County, California",6,73,300,0,109,6,73,300,6073000300,3,G5020,S,904203,0,32.7447803,-117.1622682,0.349114
3626,2173,1453,2764,81,555,41,0,34,411,2455,81,539,3538,56,7,0,0,3300,0,0,0,0,0,2,0,106,98,1042,198,2102,143,3375,584,61716,40,3286,3286,"Census Tract 4, San Diego County, California",6,73,400,0,134,6,73,400,6073000400,4,G5020,S,1179363,0,32.7533323,-117.1630579,0.45535391
2686,1469,1217,2108,101,164,26,30,68,353,1874,101,164,2621,143,32,0,0,2295,0,0,0,0,0,0,0,47,150,607,301,1359,205,2686,254,57024,73,2618,2618,"Census Tract 5, San Diego County, California",6,73,500,0,174,6,73,500,6073000500,5,G5020,S,1190667,0,32.7606645,-117.1521772,0.45971868
2886,1469,1417,2516,75,163,0,0,20,489,2058,75,152,2820,162,20,0,0,2497,9,0,0,0,0,0,27,78,164,651,314,1436,122,2886,305,62950,24,2859,2859,"Census Tract 6, San Diego County, California",6,73,600,0,154,6,73,600,6073000600,6,G5020,S,929826,0,32.7529964,-117.1518924,0.35900921
3877,2304,1573,3387,116,204,15,0,100,632,2855,116,204,3774,56,56,0,0,3193,12,0,0,0,0,0,0,76,145,765,361,2250,239,3877,510,57485,55,3852,3852,"Census Tract 7, San Diego County, California",6,73,700,0,48,6,73,700,6073000700,7,G5020,S,774586,0,32.7447633,-117.1513148,0.29907055
3709,1967,1742,2808,515,153,0,20,103,748,2244,485,116,3628,258,54,0,0,3165,10,0,0,0,0,24,0,139,218,622,298,1816,299,3709,654,41811,62,3678,3678,"Census Tract 8, San Diego County, California",6,73,800,0,27,6,73,800,6073000800,8,G5020,S,634254,0,32.7447819,-117.1420277,0.24488597
4892,2503,2389,3640,317,308,21,34,331,1117,3006,262,308,4757,347,204,7,0,4091,35,0,0,0,0,0,0,119,242,745,266,2321,392,4892,802,46214,76,4838,4838,"Census Tract 9, San Diego County, California",6,73,900,0,24,6,73,900,6073000900,9,G5020,S,621678,0,32.7518529,-117.141957,0.2400315
