TotalPop,Male,Female,White,Black,Asian,Am_Indian,Hawaii_PI,OtherRace,TotalHisp,NonHispW,NonHispB,NonHispA,Pop5Plus,English,Spanish,SpEnWell,SpEnNWell,25_Older,Less9Grade,9_12Grade,HighSch,College,Associate,Bachelor,Master,CashAssis,WithChild,Profession,ArmedForce,Married,Unemployed,Poverty,BelowPover,MedianInco,BornForeig,Insurance,Disabili,NAME,state,county,tract,Total_Count,GEOID10,NAME10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,Latitude,Longitude,Area in Square Miles
2696,1219,1477,2614,0,17,0,10,20,319,2352,0,17,2627,319,0,0,0,2207,0,0,0,0,0,0,0,9,235,439,223,1068,50,2694,108,106406,17,2684,2684,"Census Tract 1, San Diego County, California",6,73,100,0,6073000100,1,G5020,S,1541180,0,32.7530053,-117.1858941,0.59505313
2271,974,1297,2052,32,102,0,0,33,325,1802,0,102,2169,159,0,0,0,1801,0,0,0,0,0,0,0,20,128,411,175,833,91,2271,105,97976,81,2271,2271,"Census Tract 2.01, San Diego County, California",6,73,201,4,6073000201,2.01,G5020,S,864212,0,32.7540028,-117.1733775,0.33367253
4496,2438,2058,4064,43,256,21,0,21,615,3491,22,256,4225,329,0,0,0,3711,0,0,0,0,0,0,0,26,441,696,235,2182,118,4431,209,75019,57,4431,4431,"Census Tract 2.02, San Diego County, California",6,73,202,5,6073000202,2.02,G5020,S,1308952,0,32.7453846,-117.1751643,0.50539023
4457,2287,2170,3774,92,270,0,2,154,531,3416,92,270,4411,157,2,48,0,3849,51,0,0,0,0,5,0,77,183,1037,467,2202,176,4321,661,61679,94,4224,4224,"Census Tract 3, San Diego County, California",6,73,300,4,6073000300,3,G5020,S,904203,0,32.7447803,-117.1622682,0.349114
3726,2319,1407,2892,54,547,35,0,71,488,2569,54,529,3631,97,16,0,0,3381,0,0,0,0,0,2,0,103,119,1101,271,2174,129,3441,409,68488,0,3348,3348,"Census Tract 4, San Diego County, California",6,73,400,18,6073000400,4,G5020,S,1179363,0,32.7533323,-117.1630579,0.45535391
2853,1540,1313,2310,104,166,24,21,63,370,2016,104,166,2741,140,23,0,0,2371,0,0,0,0,0,0,0,46,184,604,239,1382,153,2853,273,54908,80,2787,2787,"Census Tract 5, San Diego County, California",6,73,500,1,6073000500,5,G5020,S,1190667,0,32.7606645,-117.1521772,0.45971868
2899,1376,1523,2413,148,135,0,19,67,580,1900,148,135,2812,108,23,0,0,2556,23,16,0,0,0,0,0,70,143,540,274,1336,108,2899,317,55915,27,2878,2878,"Census Tract 6, San Diego County, California",6,73,600,19,6073000600,6,G5020,S,929826,0,32.7529964,-117.1518924,0.35900921
4212,2218,1994,3722,125,191,16,0,76,396,3402,125,191,4134,35,35,0,0,3509,8,0,0,0,0,0,0,82,101,771,366,2184,226,4212,550,68977,70,4126,4126,"Census Tract 7, San Diego County, California",6,73,700,7,6073000700,7,G5020,S,774586,0,32.7447633,-117.1513148,0.29907055
3648,1910,1738,2906,413,185,0,17,55,574,2432,384,185,3573,227,33,0,0,3164,9,0,0,0,0,22,0,152,208,682,342,1784,236,3648,658,45169,89,3563,3563,"Census Tract 8, San Diego County, California",6,73,800,2,6073000800,8,G5020,S,634254,0,32.7447819,-117.1420277,0.24488597
5181,2883,2298,3753,554,357,76,56,164,1409,2847,406,357,4934,218,23,44,0,4237,79,0,0,0,0,0,0,172,281,868,385,2592,370,5181,950,46079,63,5140,5140,"Census Tract 9, San Diego County, California",6,73,900,1,6073000900,9,G5020,S,621678,0,32.7518529,-117.141957,0.2400315
5286,3120,2166,4426,152,268,15,0,60,1086,3590,139,227,5017,281,13,0,0,4617,0,0,0,0,0,0,0,116,437,942,173,2874,306,5208,767,62619,55,5185,5185,"Census Tract 10, San Diego County, California",6,73,1000,5,6073001000,10,G5020,S,864908,0,32.7603326,-117.1417318,0.33394493
3464,1798,1666,2817,217,64,0,0,141,1177,1972,183,64,3216,339,103,0,0,2637,12,0,0,0,0,0,0,154,352,659,246,1452,157,3464,529,48574,73,3445,3445,"Census Tract 11, San Diego County, California",6,73,1100,3,6073001100,11,G5020,S,955280,0,32.7652989,-117.133414,0.36883646
5907,3158,2749,4127,419,372,112,16,257,2325,2509,390,372,5781,575,261,144,0,4349,5,0,0,0,0,16,14,225,443,1032,333,2892,307,5907,996,42668,46,5895,5895,"Census Tract 12, San Diego County, California",6,73,1200,6,6073001200,12,G5020,S,687491,0,32.7580745,-117.1317978,0.26544298
6502,3174,3328,4006,891,633,223,42,304,1842,2688,854,633,6168,604,145,14,0,4816,75,0,0,0,0,4,17,273,581,811,222,2861,289,6471,1075,45607,101,6382,6382,"Census Tract 13, San Diego County, California",6,73,1300,16,6073001300,13,G5020,S,785334,6598,32.7512721,-117.1323173,0.30576485
3100,1425,1675,2543,174,116,11,11,89,658,2029,134,116,2930,213,27,0,0,2546,21,0,0,0,0,0,0,106,284,447,99,1323,133,3100,364,69602,79,3020,3020,"Census Tract 14, San Diego County, California",6,73,1400,3,6073001400,14,G5020,S,746332,0,32.74474,-117.1330809,0.28815981
3828,1917,1911,3005,307,215,13,0,135,1464,1739,307,208,3627,447,81,66,0,2932,8,0,0,0,15,12,34,125,312,609,168,1746,204,3732,600,52234,47,3811,3811,"Census Tract 15, San Diego County, California",6,73,1500,0,6073001500,15,G5020,S,793737,0,32.7437342,-117.1233872,0.30646285
5330,2867,2463,3379,956,359,0,0,242,2665,1310,935,320,4919,637,322,60,0,3703,75,0,0,0,66,0,21,362,569,304,85,2499,275,5330,1528,35503,13,5305,5305,"Census Tract 16, San Diego County, California",6,73,1600,26,6073001600,16,G5020,S,688166,0,32.7521609,-117.1213219,0.26570144
4400,2205,2195,3148,338,201,0,0,121,1835,1874,338,171,4144,511,308,0,0,3242,45,0,0,0,0,0,17,173,333,501,192,1849,349,4400,674,45297,54,4385,4385,"Census Tract 17, San Diego County, California",6,73,1700,3,6073001700,17,G5020,S,632585,0,32.7582452,-117.1207142,0.24424532
5869,2899,2970,3902,961,226,48,0,275,1872,2588,961,211,5533,664,277,12,0,4062,112,0,49,0,0,13,33,218,538,520,315,2491,248,5869,1044,42066,29,5839,5839,"Census Tract 18, San Diego County, California",6,73,1800,9,6073001800,18,G5020,S,745492,0,32.7628849,-117.1186054,0.28783619
2996,1530,1466,2548,64,101,10,0,83,508,2188,64,101,2927,254,32,0,0,2523,7,0,0,0,0,0,0,52,192,643,231,1446,166,2996,398,83423,35,2996,2996,"Census Tract 19, San Diego County, California",6,73,1900,3,6073001900,19,G5020,S,1785257,0,32.7696657,-117.1196457,0.68929142
