TotalPop,Female,Male,Asian,NonHispA,White,NonHispW,Am_Indian,Hawaii_PI,TotalHisp,NonHispB,Black,OtherRace,Bachelor,Associate,Master,HighSch,College,9_12Grade,Less9Grade,25_Older,Pop5Plus,CashAssis,BelowPover,MedianInco,Unemployed,BornForeig,ArmedForce,WithChild,Married,Profession,insurance,Disabili,NAME,state,county,tract,Total_Count
3250,1729,1521,142,142,2916,2492,0,16,516,0,0,48,974,103,542,180,253,14,74,2595,3101,0,86,138864,51,435,0,318,1835,1174,3197,314,"Census Tract 1, San Diego County, California",06,073,000100,0
1915,1154,761,41,41,1697,1616,9,0,135,10,10,40,567,51,326,100,151,20,36,1523,1764,0,183,90673,22,122,0,182,754,698,1904,194,"Census Tract 2.01, San Diego County, California",06,073,000201,1
4583,2396,2187,430,430,3750,3282,32,11,635,40,69,77,1291,344,650,257,634,52,0,3687,4406,77,291,66438,102,723,29,466,1782,1769,4192,444,"Census Tract 2.02, San Diego County, California",06,073,000202,4
5094,2361,2733,132,111,4312,3693,0,7,825,260,309,68,1817,383,723,243,793,65,68,4451,4794,95,655,69028,184,468,33,197,1212,2001,4606,522,"Census Tract 3, San Diego County, California",06,073,000300,16.03
3758,1698,2060,415,415,2861,2321,11,0,730,188,188,154,809,168,504,244,859,81,26,3077,3640,39,250,75559,150,695,78,178,1040,1532,3375,144,"Census Tract 4, San Diego County, California",06,073,000400,27.03
3271,1618,1653,111,101,2839,2454,11,0,592,51,51,124,977,172,395,299,522,47,0,2688,3113,47,302,71300,87,237,9,189,1081,1296,3030,289,"Census Tract 5, San Diego County, California",06,073,000500,4.03
3446,1725,1721,161,161,2715,2022,8,33,791,252,252,105,929,236,402,441,428,122,51,2918,3302,68,394,65089,66,600,8,255,878,1451,3099,310,"Census Tract 6, San Diego County, California",06,073,000600,53.09
4593,2297,2296,371,335,3649,3093,33,0,797,73,73,189,1590,145,575,413,684,56,73,4051,4456,50,347,79531,88,459,107,256,1621,1991,4360,429,"Census Tract 7, San Diego County, California",06,073,000700,8.03
5026,2451,2575,253,244,3868,3099,0,8,1105,490,490,301,1635,313,598,153,920,194,59,4285,4828,89,330,70224,97,1154,86,326,1341,2142,4590,505,"Census Tract 8, San Diego County, California",06,073,000800,0
5578,2395,3183,547,528,3557,2440,70,17,1766,660,722,350,1710,254,585,583,779,273,75,4613,5230,223,777,60654,200,1389,101,332,1344,1906,4748,386,"Census Tract 9, San Diego County, California",06,073,000900,0
4677,2278,2399,232,232,3801,2665,28,0,1359,88,88,60,1327,226,664,269,921,57,104,4027,4357,125,517,71532,35,477,77,362,893,2177,4262,484,"Census Tract 10, San Diego County, California",06,073,001000,6
3238,1538,1700,211,176,2466,2010,43,0,605,318,348,34,944,256,369,227,653,34,0,2667,3044,115,270,75066,104,397,20,274,1013,1299,2973,288,"Census Tract 11, San Diego County, California",06,073,001100,1
6186,2574,3612,277,277,4875,3083,89,0,2371,277,277,374,1498,344,483,815,894,142,193,4508,5784,407,1045,48945,165,882,52,459,1231,1795,5321,589,"Census Tract 12, San Diego County, California",06,073,001200,6.03
